Biochimica et biophysica acta. Proteins and proteomics	Biochim Biophys Acta Proteins Proteom	101731734	biochemistry	1	NonReview
BioEssays : news and reviews in molecular, cellular and developmental biology	Bioessays	8510851	biochemistry	1	NonReview
Biological chemistry	Biol Chem	9700112	biochemistry	1	NonReview
Biology	Biology (Basel)	101587988	biochemistry	1	NonReview
Biomacromolecules	Biomacromolecules	100892849	biochemistry	1	NonReview
Biomolecular concepts	Biomol Concepts	101518829	biochemistry	1	NonReview
Biomolecules	Biomolecules	101596414	biochemistry	1	NonReview
Bioscience reports	Biosci Rep	8102797	biochemistry	1	NonReview
Biotechnology advances	Biotechnol Adv	8403708	biochemistry	1	NonReview
Biotechnology and applied biochemistry	Biotechnol Appl Biochem	8609465	biochemistry	1	NonReview
Biotechnology and bioengineering	Biotechnol Bioeng	7502021	biochemistry	1	NonReview
BMB reports	BMB Rep	101465334	biochemistry	1	NonReview
BMC molecular and cell biology	BMC Mol Cell Biol	101741148	biochemistry	1	NonReview
BMC plant biology	BMC Plant Biol	100967807	plant	1	NonReview
BMC genomics	BMC Genomics	100965258	biochemistry	1	NonReview
Cell biochemistry and function	Cell Biochem Funct	8305874	biochemistry	1	NonReview
Cellular & molecular biology letters	Cell Mol Biol Lett	9607427	biochemistry	1	NonReview
Cellular and molecular life sciences : CMLS	Cell Mol Life Sci	9705402	biochemistry	1	NonReview
Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology	Cell Physiol Biochem	9113221	biochemistry	1	NonReview
Chembiochem : a European journal of chemical biology	Chembiochem	100937360	biochemistry	1	NonReview
Chemical biology & drug design	Chem Biol Drug Des	101262549	biochemistry	1	NonReview
Chemistry & biodiversity	Chem Biodivers	101197449	biochemistry	1	NonReview
Cold Spring Harbor protocols	Cold Spring Harb Protoc	101524530	biochemistry	1	NonReview
Communications biology	Commun Biol	101719179	biochemistry	1	NonReview
Comparative biochemistry and physiology. Part B, Biochemistry & molecular biology	Comp Biochem Physiol B Bioche...	9516061	biochemistry	1	NonReview
Comparative biochemistry and physiology. Toxicology & pharmacology : CBP	Comp Biochem Physiol C...	100959500	biochemistry	1	NonReview
Critical reviews in biochemistry and molecular biology	Crit Rev Biochem Mol Biol	8903774	biochemistry	1	Review
Critical reviews in biotechnology	Crit Rev Biotechnol	8505177	biochemistry	1	Review
Current opinion in chemical biology	Curr Opin Chem Biol	9811312	biochemistry	1	Review
Current opinion in lipidology	Curr Opin Lipidol	9010000	biochemistry	1	Review
Current opinion in plant biology	Curr Opin Plant Biol	100883395	plant	1	Review
Current opinion in structural biology	Curr Opin Struct Biol	9107784	biochemistry	1	Review
Current protein & peptide science	Curr Protein Pept Sci	100960529	biochemistry	1	NonReview
Current protocols	Curr Protoc	101773894	biochemistry	1	NonReview
eLife	Elife	101579614	biochemistry	1	NonReview
EMBO reports	EMBO Rep	100963049	biochemistry	1	NonReview
European journal of biochemistry	Eur J Biochem	7602204	biochemistry	1	NonReview
FEBS open bio	FEBS Open Bio	101580716	biochemistry	1	NonReview
FEBS letters	FEBS Lett	155157	biochemistry	1	NonReview
Frontiers in plant science	Front Plant Sci	101568200	plant	1	NonReview
Frontiers in bioengineering and biotechnology	Front Bioeng Biotechnol	101632513	biochemistry	1	NonReview
Function (Oxford, England)	Function (Oxf)	101770668	biochemistry	1	NonReview
Functional plant biology : FPB	Funct Plant Biol	101154361	plant	1	NonReview
Functional & integrative genomics	Funct Integr Genomics	10093934i3	biochemistry	1	NonReview
Genes	Genes (Basel)	101551097	biochemistry	1	NonReview
Genomics, proteomics & bioinformatics	Genomics Proteomics Bioinformatics	101197608	biochemistry	1	NonReview
Glycobiology	Glycobiology	9104124	biochemistry	1	NonReview
Horticulture research	Hortic Res	101655540	plant	1	NonReview
Indian journal of biochemistry & biophysics	Indian J Biochem Biophys	7503650	biochemistry	1	NonReview
International journal of biochemistry	Int J Biochem	7502821	biochemistry	1	NonReview
International journal of molecular sciences	Int J Mol Sci	101092791	biochemistry	1	NonReview
International journal of phytoremediation	Int J Phytoremediation	101136878	plant	1	NonReview
International review of cell and molecular biology	Int Rev Cell Mol Biol	101475846	biochemistry	1	Review
IUBMB life	IUBMB Life	100888706	biochemistry	1	NonReview
Journal of agricultural and food chemistry	J Agric Food Chem	374755	plant	1	NonReview
Journal of applied genetics	J Appl Genet	9514582	biochemistry	1	NonReview
Journal of biochemistry	J Biochem	376600	biochemistry	1	NonReview
Journal of biochemistry (Tokyo)	J Biochem (Tokyo)	7502043	biochemistry	1	NonReview
Journal of biological chemistry	J Biol Chem	7505910	biochemistry	1	NonReview
Journal of biomolecular structural dynamics	J Biomol Struct Dyn	8404176	biochemistry	1	NonReview
Journal of bioscience and bioengineering	J Biosci Bioeng	100888800	biochemistry	1	NonReview
Journal of biosciences	J Biosci	8100809	plant	1	NonReview
Journal of cellular and molecular medicine	J Cell Mol Med	101083777	biochemistry	1	NonReview
Journal of cellular biochemistry	J Cell Biochem	8205768	biochemistry	1	NonReview
Journal of cellular physiology	J Cell Physiol	50222	biochemistry	1	NonReview
Journal of enzyme inhibition and medicinal chemistry	J Enzyme Inhib Med Chem	101150203	biochemistry	1	NonReview
Journal of experimental botany	J Exp Bot	9882906	plant	1	NonReview
Journal of Experimental Botany	J Exp Bot	9882906	plant	1	NonReview
Journal of food science	J Food Sci	14052	plant	1	NonReview
Journal of integrative plant biology	J Integr Plant Biol	101250502	plant	1	NonReview
Journal of lipid research	J Lipid Res	376606	biochemistry	1	NonReview
Journal of molecular biology	J Mol Biol	2985088R	biochemistry	1	NonReview
Journal of molecular biology and biotechnology	J Mol Biol Biotechnol	8105720	biochemistry	1	NonReview
Journal of molecular catalysis. B, Enzymatic	J Mol Catal B Enzym	9602616	biochemistry	1	NonReview
Journal of molecular cell biology	J Mol Cell Biol	101503669	biochemistry	1	NonReview
Journal of natural products	J Nat Prod	7906882	biochemistry	1	NonReview
Journal of physiology and biochemistry	J Physiol Biochem	9812509	biochemistry	1	NonReview
Journal of plant physiology	J Plant Physiol	9882059	plant	1	NonReview
Journal of plant research	J Plant Res	9887853	plant	1	NonReview
Journal of proteome research	J Proteome Res	101128775	biochemistry	1	NonReview
Journal of proteomics	J Proteomics	101475056	biochemistry	1	NonReview
Journal of structural biology	J Struct Biol	9011206	biochemistry	1	NonReview
Life sciences	Life Sci	7500977	biochemistry	1	NonReview
Metabolites	Metabolites	101578790	biochemistry	1	NonReview
Metabolic engineering	Metab Eng	9815657	biochemistry	1	NonReview
Metabolomics : Official journal of the Metabolomic Society	Metabolomics	101274889	biochemistry	1	NonReview
Methods (San Diego, Calif.)	Methods	9426302	biochemistry	1	NonReview
Methods in enzymology	Methods Enzymol	212271	biochemistry	1	NonReview
Methods in molecular biology (Clifton, N.J.)	Methods Mol Biol	9214969	biochemistry	1	NonReview
Microbial cell factories	Microb Cell Fact	101139812	biochemistry	1	NonReview
Molecular and cellular biochemistry	Mol Cell Biochem	7611276	biochemistry	1	NonReview
Molecular biology and evolution	Mol Biol Evol	8501455	biochemistry	1	NonReview
Molecular biology of the cell	Mol Biol Cell	9201390	biochemistry	1	NonReview
Molecular cell	Mol Cell	9802571	biochemistry	1	NonReview
Molecular genetics and metabolism	Mol Genet Metab	9805456	biochemistry	1	NonReview
Molecular omics	Mol Omics	101713384	biochemistry	1	NonReview
Molecular plant	Mol Plant	101465514	plant	1	NonReview
Molecular plant pathology	Mol Plant Pathol	100954969	plant	1	NonReview
Molecular plant-microbe interactions : MPMI	Mol Plant Microbe Interact	9107902	plant	1	NonReview
Molecular systems biology	Mol Syst Biol	101235389	biochemistry	1	NonReview
Molecules (Basel, Switzerland)	Molecules	100964009	biochemistry	1	NonReview
Molecules and cells	Mol Cells	9610936	biochemistry	1	NonReview
Mycorrhiza	Mycorrhiza	100955036	plant	1	NonReview
Nature	Nature	410462	biochemistry	1	NonReview
Nature chemical biology	Nat Chem Biol	101231976	biochemistry	1	NonReview
Nature Communications	Nat Commun	101528555	biochemistry	1	NonReview
Nature plants	Nat Plants	101651677	plant	1	NonReview
Nature reviews. Molecular cell biology	Nat Rev Mol Cell Biol	100962782	biochemistry	1	Review
Nature structural & molecular biology	Nat Struct Mol Biol	101186374	biochemistry	1	NonReview
Nature biotechnology	Nat Biotechnol	9604648	biochemistry	1	NonReview
Natural product reports	Nat Prod Rep	8502408	biochemistry	1	NonReview
Omics : a journal of integrative biology	OMICS	101131135	biochemistry	1	NonReview
Open biology	Open Biol	101580419	biochemistry	1	NonReview
Organic & biomolecular chemistry	Org Biomol Chem	101154995	biochemistry	1	NonReview
PeerJ	PeerJ	101603425	biochemistry	1	NonReview
Physiologia plantarum	Physiol Plant	1256322	plant	1	NonReview
Phytochemical analysis : PCA	Phytochem Anal	9200492	plant	1	NonReview
Phytochemistry	Phytochemistry	151434	plant	1	NonReview
Phytochemistry letters	Phytochem Lett	101513432	plant	1	NonReview
Phytopathology	Phytopathology	9427222	plant	1	NonReview
Plant & cell physiology	Plant Cell Physiol	9430925	plant	1	NonReview
Plant biology (Stuttgart, Germany)	Plant Biol (Stuttg)	101148926	plant	1	NonReview
Plant biotechnology journal	Plant Biotechnol J	101201889	plant	1	NonReview
Plant biotechnology	Plant Biotechnology	NA	plant	1	NonReview
Plant cell reports	Plant Cell Rep	9880970	plant	1	NonReview
Plant communications	Plant Commun	101769147	plant	1	NonReview
Plant direct	Plant Direct	101716131	plant	1	NonReview
Plant disease	Plant Dis	9882809	plant	1	NonReview
Plant molecular biology	Plant Mol Biol	9106343	plant	1	NonReview
Plant physiology	Plant Physiol	401224	plant	1	NonReview
Plant physiology and biochemistry : PPB	Plant Physiol Biochem	9882449	plant	1	NonReview
Plant reproduction	Plant Reprod	101602701	plant	1	NonReview
Plant science : an international journal of experimental plant biology	Plant Sci	9882015	plant	1	NonReview
Plant signaling & behavior	Plant Signal Behav	101291431	plant	1	NonReview
Plant, cell & environment	Plant Cell Environ	9309004	plant	1	NonReview
Planta medica	Planta Med	66751	plant	1	NonReview
Planta	Planta	1250576	plant	1	NonReview
Plants (Basel, Switzerland)	Plants (Basel)	101596181	plant	1	NonReview
PLoS computational biology	PLoS Comput Biol	101238922	biochemistry	1	NonReview
PloS one	PLoS One	101285081	biochemistry	1	NonReview
PLoS biology	PLoS Biol	101183755	biochemistry	1	NonReview
Preparative biochemistry & biotechnology	Prep Biochem Biotechnol	9607037	biochemistry	1	NonReview
Proceedings of the National Academy of Sciences of the United States of America	Proc Natl Acad Sci U S A	7505876	biochemistry	1	NonReview
PNAS nexus	PNAS Nexus	9918367777906676	biochemistry	1	NonReview
Progress in biophysics and molecular biology	Prog Biophys Mol Biol	401233	biochemistry	1	NonReview
Protein science : a publication of the Protein Society	Protein Sci	9211750	biochemistry	1	NonReview
Proteins	Proteins	8700181	biochemistry	1	NonReview
Proteomics	Proteomics	101092707	biochemistry	1	NonReview
Proteomics. Clinical applications	Proteomics Clin Appl	101298608	biochemistry	1	NonReview
Science	Science	404511	biochemistry	1	NonReview
Science Advances	Sci Adv	101653440	biochemistry	1	NonReview
Science Bulletin	Sci Bull (Beijing)	101655530	biochemistry	1	NonReview
Scientific Reports	Sci Rep	101563288	biochemistry	1	NonReview
Steroids	Steroids	404536	biochemistry	1	NonReview
The Biochemical journal	Biochem J	7504953	biochemistry	1	NonReview
The Biochemical journal	Biochem J	2984726R	biochemistry	1	NonReview
The EMBO journal	EMBO J	8208664	biochemistry	1	NonReview
The FEBS journal	FEBS J	101229646	biochemistry	1	NonReview
The international journal of biochemistry & cell biology	Int J Biochem Cell Biol	9508482	biochemistry	1	NonReview
The Journal of Biological Chemistry	J Biol Chem	2985121R	biochemistry	1	NonReview
The Journal of biological chemistry	J Biol Chem	7505910	biochemistry	1	NonReview
4The Journal of nutritional biochemistry	J Nutr Biochem	9010081	biochemistry	1	NonReview
The Journal of steroid biochemistry and molecular biology	J Steroid Biochem Mol Biol	9015483	biochemistry	1	NonReview
The Plant cell	Plant Cell	9208688	plant	1	NonReview
The plant genome	Plant Genome	101273919	plant	1	NonReview
The Plant journal : for cell and molecular biology	Plant J	9207397	plant	1	NonReview
The protein journal	Protein J	101212092	biochemistry	1	NonReview
Transgenic research	Transgenic Res	9209120	plant	1	NonReview
The New phytologist	New Phytol	9882884	plant	1	NonReview
Tree physiology	Tree Physiol	100955338	plant	1	NonReview
Trends in biochemical sciences	Trends Biochem Sci	7807779	biochemistry	1	Review
Trends in biotechnology	Trends Biotechnol	8310903	biochemistry	1	Review
Trends in plant science	Trends Plant Sci	9890299	plant	1	Review
